representation,n_train,feature_dim,astar_spearman,astar_r2,speed_r2,direction_cosine,collision_accuracy,collision_auc,action_magnitude_r2,action_decode_r2,action_to_latent_r2,astar_action_subspace_overlap,speed_action_subspace_overlap,direction_action_subspace_overlap,selection_score
dino/9/individual_patches,48099,384,0.09084217954509469,-98.87267365042855,-0.0045819060988612215,0.5200767677419823,0.9288356119146688,0.4003771723243285,-0.04057338266596888,-0.004073626981237588,-0.00016329690950755982,0.004048191205293299,0.004042948807434819,0.06484947663078736,0.1221837894574154
dino/9/pooled_patches,1227,384,0.9927092504380661,0.9869286678915739,-0.15347409918665722,0.8813858209074487,0.9288025889967637,0.43015521064301554,-0.20118990000113834,-0.10345405789920803,-0.00204505707835434,0.001415423068204635,0.0016485769683709194,0.015022967075906566,0.37481901426910297
dino/9/projected_aggregate,1227,128,0.9819644198755052,0.9544405625745169,-0.00426355160565528,0.7782682185930605,0.9288025889967637,0.43458980044345896,-0.035280105816634766,0.04185958101460563,0.010785055047468406,0.006471904867047282,0.009062042237025463,0.026178370727944166,0.3604184438966343
dino/9/projected_patches,48099,8,0.0007252004515944919,-0.023366976155217323,-0.0020433429890001076,0.0974408916400784,0.9288025889967637,0.4668945681354129,-0.008053861931055062,-0.004428320141081077,0.0002724080823776065,0.48160978225478684,0.5698209556072151,0.43196313648800744,0.019633218418334576
predictor/0/individual_visual_tokens,40082,8,-0.0006170873100315248,-0.0016696585899416139,0.014208478788618417,0.11129464552305779,0.9174757281553398,0.5543654293593044,-0.004330180821064511,-0.00651224273116191,-0.0011671713213250445,0.24535898611443893,0.1865959356284056,0.34729380241235697,0.04684679660605702
predictor/0/pooled_visual,818,8,0.5208712740224319,0.271860604579924,0.04186790971216103,0.5097614720260071,0.9174757281553398,0.6249610955493309,-0.006976315456810989,0.0866903837008397,0.010361291120027816,0.13638546895282447,0.05785276065822888,0.3179761485595386,0.2818226461120203
predictor/1/individual_visual_tokens,40082,8,-0.0053793435285091375,-0.0022958810862230283,0.011691674187518375,0.12392051196823574,0.9174757281553398,0.5772114644367627,-0.00859089222703946,-0.0035322405731326167,0.003170937494058612,0.7807180727342576,0.31843328631650436,0.43625452594353537,0.05800702300585592
predictor/1/pooled_visual,818,8,0.6234177927454119,0.32493955688604415,0.0476092692382899,0.503217686284274,0.9174757281553398,0.7049486461251168,-0.0317364221761709,0.07147803879035253,0.017843293794881365,0.42421304960372874,0.05620820555634075,0.2852717821187914,0.3311240158617124
predictor/2/individual_visual_tokens,40082,8,0.08347365095442472,0.0011825553010987866,-0.0008343815888012251,0.19041943180331006,0.9174757281553398,0.563877834904613,-0.009827479126003569,-0.0028383848237325537,0.0023642709444374743,0.940848837374501,0.49592732965630704,0.3752152179118619,0.08032975051339214
predictor/2/pooled_visual,818,8,0.5570346654290784,0.2687407130877999,-0.0014529904591078502,0.49904944387095673,0.9174757281553398,0.6542172424525365,-0.048769558218309195,0.050954072768460756,0.02011847618836471,0.410808250485879,0.07290566324588499,0.24049580208038618,0.2830945333947138
predictor/3/individual_visual_tokens,40082,8,0.035886334411289134,-0.0050607526566162075,-0.004238288080722796,0.21546828226618872,0.9174757281553398,0.5001987918588232,-0.003364177524614931,-0.008438983668140887,-0.0021076173471983317,0.7907576294806578,0.19527529228801574,0.18717924105840605,0.05035044007902485
predictor/3/pooled_visual,818,8,0.32297096092893773,0.08687957205016883,-0.0110238926712245,0.4271372742944175,0.9174757281553398,0.5017117958294429,-0.02223899624972092,0.020722270854279246,-0.013206785573188329,0.09099097494008473,0.21859032579593574,0.21298637651583988,0.15485081954730406
predictor/4/individual_visual_tokens,40082,8,-0.015170158338881499,-0.004191611785738569,-0.01197381005472753,0.18163346001546574,0.9174757281553398,0.48801119087090616,-0.002760969622318088,-0.009372139852799277,-0.0006753491152884372,0.8087887877963529,0.10980698055813184,0.0955796930230458,0.036326692003093145
predictor/4/pooled_visual,818,8,0.21295057564529804,0.030753727520931196,-0.05025569230141924,0.3955061986687439,0.9174757281553398,0.5434173669467787,-0.025228995780461227,0.01382187338997587,-0.00797485606099535,0.04284393559294019,0.03622275716645539,0.30649991432476625,0.14182267631951503
predictor/5/individual_visual_tokens,40082,8,0.030064142848997097,-7.376514378898413e-05,-0.0013187771536762316,0.21375006872147537,0.9174757281553398,0.45758968472390577,-0.003739477324830265,-0.00866096530885585,8.161004069084932e-06,0.051537483396639605,0.008330944608297674,0.10294052407783584,0.04876284231409449
predictor/5/pooled_visual,818,8,0.548251921178463,0.27342972257698905,0.0011536535965477324,0.4500875367312861,0.9174757281553398,0.5032679738562091,-0.053099031277446196,0.004696491532017455,-0.0027793021941386886,0.040107899039605335,0.20098908695105555,0.2734051665125546,0.2021451101501465
